note_minus_2,note_minus_1,current_note,avg_interval,label
23,47,43,10.0,1
47,43,38,-4.5,1
43,38,24,-9.5,1
38,24,47,4.5,1
24,47,43,9.5,1
47,43,38,-4.5,1
43,38,24,-9.5,1
38,24,45,3.5,1
24,45,42,9.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,36,-4.5,1
42,36,26,-8.0,1
36,26,45,4.5,1
26,45,42,8.0,1
45,42,36,-4.5,1
42,36,26,-8.0,1
36,26,43,3.5,1
26,43,38,6.0,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,31,-3.5,1
35,31,43,4.0,1
31,43,38,3.5,1
43,38,35,-4.0,1
38,35,31,-3.5,1
35,31,43,4.0,1
31,43,38,3.5,1
43,38,35,-4.0,1
38,35,31,-3.5,1
35,31,43,4.0,1
31,43,38,3.5,1
43,38,35,-4.0,1
38,35,31,-3.5,1
35,31,45,5.0,1
31,45,38,3.5,1
45,38,33,-6.0,1
38,33,30,-4.0,1
33,30,45,6.0,1
30,45,38,4.0,1
45,38,33,-6.0,1
38,33,30,-4.0,1
33,30,47,7.0,1
30,47,38,4.0,1
47,38,33,-7.0,1
38,33,30,-4.0,1
33,30,47,7.0,1
30,47,38,4.0,1
47,38,33,-7.0,1
38,33,30,-4.0,1
33,30,48,7.5,1
30,48,43,6.5,1
48,43,40,-4.0,1
43,40,28,-7.5,1
40,28,48,4.0,1
28,48,43,7.5,1
48,43,40,-4.0,1
43,40,28,-7.5,1
40,28,48,4.0,1
28,48,43,7.5,1
48,43,40,-4.0,1
43,40,30,-6.5,1
40,30,48,4.0,1
30,48,43,6.5,1
48,43,40,-4.0,1
43,40,30,-6.5,1
40,30,47,3.5,1
30,47,43,6.5,1
47,43,38,-4.5,1
43,38,31,-6.0,1
38,31,47,4.5,1
31,47,43,6.0,1
47,43,38,-4.5,1
43,38,31,-6.0,1
38,31,48,5.0,1
31,48,43,6.0,1
48,43,36,-6.0,1
43,36,31,-6.0,1
36,31,48,6.0,1
31,48,43,6.0,1
48,43,36,-6.0,1
43,36,31,-6.0,1
36,31,50,7.0,1
31,50,43,6.0,1
50,43,35,-7.5,1
43,35,19,-12.0,1
35,19,50,7.5,1
19,50,43,12.0,1
50,43,35,-7.5,1
43,35,19,-12.0,1
35,19,50,7.5,1
19,50,42,11.5,1
50,42,33,-8.5,1
42,33,21,-10.5,1
33,21,50,8.5,1
21,50,42,10.5,1
50,42,33,-8.5,1
42,33,21,-10.5,1
33,21,50,8.5,1
21,50,43,11.0,1
50,43,31,-9.5,1
43,31,23,-10.0,1
31,23,50,9.5,1
23,50,43,10.0,1
50,43,31,-9.5,1
43,31,23,-10.0,1
31,23,50,9.5,1
23,50,43,10.0,1
50,43,31,-9.5,1
43,31,24,-9.5,1
31,24,50,9.5,1
24,50,43,9.5,1
50,43,31,-9.5,1
43,31,24,-9.5,1
31,24,45,7.0,1
24,45,42,9.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,36,-4.5,1
42,36,26,-8.0,1
36,26,45,4.5,1
26,45,42,8.0,1
45,42,36,-4.5,1
42,36,26,-8.0,1
36,26,43,3.5,1
26,43,40,7.0,1
43,40,35,-4.0,1
40,35,28,-6.0,1
35,28,43,4.0,1
28,43,40,6.0,1
43,40,35,-4.0,1
40,35,28,-6.0,1
35,28,43,4.0,1
28,43,40,6.0,1
43,40,33,-5.0,1
40,33,28,-6.0,1
33,28,43,5.0,1
28,43,40,6.0,1
43,40,31,-6.0,1
40,31,28,-6.0,1
31,28,42,5.5,1
28,42,38,5.0,1
42,38,33,-4.5,1
38,33,30,-4.0,1
33,30,42,4.5,1
30,42,38,4.0,1
42,38,33,-4.5,1
38,33,30,-4.0,1
33,30,42,4.5,1
30,42,38,4.0,1
42,38,33,-4.5,1
38,33,31,-3.5,1
33,31,42,4.5,1
31,42,38,3.5,1
42,38,33,-4.5,1
38,33,31,-3.5,1
33,31,40,3.5,1
31,40,38,3.5,1
40,38,33,-3.5,1
38,33,33,-2.5,1
33,33,40,3.5,1
33,40,38,2.5,1
40,38,33,-3.5,1
38,33,33,-2.5,1
33,33,40,3.5,1
33,40,38,2.5,1
40,38,33,-3.5,1
38,33,33,-2.5,1
33,33,40,3.5,1
33,40,38,2.5,1
40,38,33,-3.5,1
38,33,33,-2.5,1
33,33,40,3.5,1
33,40,37,2.0,1
40,37,33,-3.5,1
37,33,21,-8.0,1
33,21,40,3.5,1
21,40,37,8.0,1
40,37,33,-3.5,1
37,33,21,-8.0,1
33,21,40,3.5,1
21,40,37,8.0,1
40,37,33,-3.5,1
37,33,21,-8.0,1
33,21,40,3.5,1
21,40,37,8.0,1
40,37,33,-3.5,1
37,33,21,-8.0,1
33,21,38,2.5,1
21,38,38,8.5,1
38,38,30,-4.0,1
38,30,26,-6.0,1
30,26,38,4.0,1
26,38,38,6.0,1
38,38,30,-4.0,1
38,30,26,-6.0,1
30,26,38,4.0,1
26,38,38,6.0,1
38,38,30,-4.0,1
38,30,26,-6.0,1
30,26,38,4.0,1
26,38,38,6.0,1
38,38,30,-4.0,1
38,30,26,-6.0,1
30,26,38,4.0,1
26,38,38,6.0,1
38,38,30,-4.0,1
38,30,26,-6.0,1
30,26,38,4.0,1
26,38,38,6.0,1
38,38,30,-4.0,1
38,30,26,-6.0,1
30,26,38,4.0,1
26,38,38,6.0,1
38,38,30,-4.0,1
38,30,26,-6.0,1
30,26,38,4.0,1
26,38,38,6.0,1
38,38,30,-4.0,1
38,30,26,-6.0,1
30,26,38,4.0,1
26,38,38,6.0,1
38,38,30,-4.0,1
38,30,26,-6.0,1
30,26,38,4.0,1
26,38,38,6.0,1
38,38,30,-4.0,1
38,30,26,-6.0,1
30,26,38,4.0,1
26,38,38,6.0,1
38,38,30,-4.0,1
38,30,26,-6.0,1
30,26,38,4.0,1
26,38,38,6.0,1
38,38,30,-4.0,1
38,30,26,-6.0,1
30,26,38,4.0,1
26,38,38,6.0,1
38,38,30,-4.0,1
38,30,23,-7.5,1
30,23,38,4.0,1
23,38,38,7.5,1
38,38,30,-4.0,1
38,30,23,-7.5,1
30,23,38,4.0,1
23,38,38,7.5,1
38,38,30,-4.0,1
38,30,23,-7.5,1
30,23,38,4.0,1
23,38,38,7.5,1
38,38,30,-4.0,1
38,30,23,-7.5,1
30,23,43,6.5,1
23,43,40,8.5,1
43,40,31,-6.0,1
40,31,28,-6.0,1
31,28,43,6.0,1
28,43,40,6.0,1
43,40,31,-6.0,1
40,31,28,-6.0,1
31,28,43,6.0,1
28,43,40,6.0,1
43,40,31,-6.0,1
40,31,28,-6.0,1
31,28,43,6.0,1
28,43,40,6.0,1
43,40,31,-6.0,1
40,31,28,-6.0,1
31,28,45,7.0,1
28,45,42,7.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,47,4.5,1
26,47,43,8.5,1
47,43,38,-4.5,1
43,38,31,-6.0,1
38,31,47,4.5,1
31,47,43,6.0,1
47,43,38,-4.5,1
43,38,31,-6.0,1
38,31,48,5.0,1
31,48,45,7.0,1
48,45,36,-6.0,1
45,36,31,-7.0,1
36,31,48,6.0,1
31,48,45,7.0,1
48,45,36,-6.0,1
45,36,31,-7.0,1
36,31,50,7.0,1
31,50,47,8.0,1
50,47,35,-7.5,1
47,35,31,-8.0,1
35,31,50,7.5,1
31,50,47,8.0,1
50,47,35,-7.5,1
47,35,31,-8.0,1
35,31,50,7.5,1
31,50,47,8.0,1
50,47,33,-8.5,1
47,33,29,-9.0,1
33,29,50,8.5,1
29,50,47,9.0,1
50,47,33,-8.5,1
47,33,29,-9.0,1
33,29,50,8.5,1
29,50,47,9.0,1
50,47,31,-9.5,1
47,31,28,-9.5,1
31,28,50,9.5,1
28,50,47,9.5,1
50,47,31,-9.5,1
47,31,28,-9.5,1
31,28,50,9.5,1
28,50,47,9.5,1
50,47,30,-10.0,1
47,30,28,-9.5,1
30,28,50,10.0,1
28,50,47,9.5,1
50,47,30,-10.0,1
47,30,28,-9.5,1
30,28,48,9.0,1
28,48,45,8.5,1
48,45,28,-10.0,1
45,28,21,-12.0,1
28,21,48,10.0,1
21,48,45,12.0,1
48,45,28,-10.0,1
45,28,21,-12.0,1
28,21,48,10.0,1
21,48,45,12.0,1
48,45,28,-10.0,1
45,28,21,-12.0,1
28,21,48,10.0,1
21,48,45,12.0,1
48,45,28,-10.0,1
45,28,21,-12.0,1
28,21,47,9.5,1
21,47,43,11.0,1
47,43,27,-10.0,1
43,27,23,-10.0,1
27,23,47,10.0,1
23,47,43,10.0,1
47,43,27,-10.0,1
43,27,23,-10.0,1
27,23,47,10.0,1
23,47,42,9.5,1
47,42,27,-10.0,1
42,27,23,-9.5,1
27,23,47,10.0,1
23,47,42,9.5,1
47,42,27,-10.0,1
42,27,23,-9.5,1
27,23,45,9.0,1
23,45,40,8.5,1
45,40,28,-8.5,1
40,28,24,-8.0,1
28,24,45,8.5,1
24,45,40,8.0,1
45,40,28,-8.5,1
40,28,24,-8.0,1
28,24,45,8.5,1
24,45,40,8.0,1
45,40,28,-8.5,1
40,28,24,-8.0,1
28,24,45,8.5,1
24,45,40,8.0,1
45,40,28,-8.5,1
40,28,24,-8.0,1
28,24,47,9.5,1
24,47,39,7.5,1
47,39,30,-8.5,1
39,30,23,-8.0,1
30,23,47,8.5,1
23,47,39,8.0,1
47,39,30,-8.5,1
39,30,23,-8.0,1
30,23,47,8.5,1
23,47,39,8.0,1
47,39,30,-8.5,1
39,30,23,-8.0,1
30,23,47,8.5,1
23,47,39,8.0,1
47,39,30,-8.5,1
39,30,23,-8.0,1
30,23,47,8.5,1
23,47,39,8.0,1
47,39,30,-8.5,1
39,30,23,-8.0,1
30,23,47,8.5,1
23,47,39,8.0,1
47,39,30,-8.5,1
39,30,23,-8.0,1
30,23,47,8.5,1
23,47,39,8.0,1
47,39,30,-8.5,1
39,30,23,-8.0,1
30,23,47,8.5,1
23,47,39,8.0,1
47,39,30,-8.5,1
39,30,23,-8.0,1
30,23,47,8.5,1
23,47,39,8.0,1
47,39,30,-8.5,1
39,30,23,-8.0,1
30,23,47,8.5,1
23,47,39,8.0,1
47,39,30,-8.5,1
39,30,23,-8.0,1
30,23,47,8.5,1
23,47,39,8.0,1
47,39,30,-8.5,1
39,30,23,-8.0,1
30,23,47,8.5,1
23,47,39,8.0,1
47,39,30,-8.5,1
39,30,23,-8.0,1
30,23,47,8.5,1
23,47,40,8.5,1
47,40,31,-8.0,1
40,31,28,-6.0,1
31,28,47,8.0,1
28,47,40,6.0,1
47,40,31,-8.0,1
40,31,28,-6.0,1
31,28,48,8.5,1
28,48,40,6.0,1
48,40,31,-8.5,1
40,31,28,-6.0,1
31,28,48,8.5,1
28,48,40,6.0,1
48,40,31,-8.5,1
40,31,28,-6.0,1
31,28,50,9.5,1
28,50,42,7.0,1
50,42,38,-6.0,1
42,38,35,-3.5,1
38,35,50,6.0,1
35,50,42,3.5,1
50,42,38,-6.0,1
42,38,35,-3.5,1
38,35,50,6.0,1
35,50,44,4.5,1
50,44,38,-6.0,1
44,38,35,-4.5,1
38,35,50,6.0,1
35,50,44,4.5,1
50,44,38,-6.0,1
44,38,35,-4.5,1
38,35,52,7.0,1
35,52,45,5.0,1
52,45,36,-8.0,1
45,36,33,-6.0,1
36,33,52,8.0,1
33,52,45,6.0,1
52,45,36,-8.0,1
45,36,33,-6.0,1
36,33,52,8.0,1
33,52,45,6.0,1
52,45,35,-8.5,1
45,35,31,-7.0,1
35,31,52,8.5,1
31,52,45,7.0,1
52,45,35,-8.5,1
45,35,31,-7.0,1
35,31,50,7.5,1
31,50,45,7.0,1
50,45,33,-8.5,1
45,33,30,-7.5,1
33,30,50,8.5,1
30,50,45,7.5,1
50,45,33,-8.5,1
45,33,30,-7.5,1
33,30,50,8.5,1
30,50,43,6.5,1
50,43,33,-8.5,1
43,33,28,-7.5,1
33,28,50,8.5,1
28,50,43,7.5,1
50,43,33,-8.5,1
43,33,28,-7.5,1
33,28,45,6.0,1
28,45,42,7.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,40,7.0,1
45,40,36,-4.5,1
40,36,26,-7.0,1
36,26,45,4.5,1
26,45,40,7.0,1
45,40,36,-4.5,1
40,36,26,-7.0,1
36,26,47,5.5,1
26,47,38,6.0,1
47,38,35,-6.0,1
38,35,31,-3.5,1
35,31,47,6.0,1
31,47,38,3.5,1
47,38,35,-6.0,1
38,35,31,-3.5,1
35,31,47,6.0,1
31,47,38,3.5,1
47,38,33,-7.0,1
38,33,30,-4.0,1
33,30,47,7.0,1
30,47,38,4.0,1
47,38,33,-7.0,1
38,33,30,-4.0,1
33,30,49,8.0,1
30,49,40,5.0,1
49,40,31,-9.0,1
40,31,28,-6.0,1
31,28,49,9.0,1
28,49,40,6.0,1
49,40,31,-9.0,1
40,31,28,-6.0,1
31,28,49,9.0,1
28,49,40,6.0,1
49,40,31,-9.0,1
40,31,28,-6.0,1
31,28,49,9.0,1
28,49,40,6.0,1
49,40,31,-9.0,1
40,31,28,-6.0,1
31,28,50,9.5,1
28,50,42,7.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,43,8.5,1
50,43,35,-7.5,1
43,35,31,-6.0,1
35,31,50,7.5,1
31,50,43,6.0,1
50,43,35,-7.5,1
43,35,31,-6.0,1
35,31,50,7.5,1
31,50,43,6.0,1
50,43,35,-7.5,1
43,35,31,-6.0,1
35,31,50,7.5,1
31,50,43,6.0,1
50,43,35,-7.5,1
43,35,31,-6.0,1
35,31,52,8.5,1
31,52,43,6.0,1
52,43,36,-8.0,1
43,36,24,-9.5,1
36,24,52,8.0,1
24,52,43,9.5,1
52,43,36,-8.0,1
43,36,24,-9.5,1
36,24,52,8.0,1
24,52,43,9.5,1
52,43,36,-8.0,1
43,36,24,-9.5,1
36,24,52,8.0,1
24,52,43,9.5,1
52,43,36,-8.0,1
43,36,24,-9.5,1
36,24,50,7.0,1
24,50,42,9.0,1
50,42,38,-6.0,1
42,38,23,-9.5,1
38,23,50,6.0,1
23,50,42,9.5,1
50,42,38,-6.0,1
42,38,23,-9.5,1
38,23,50,6.0,1
23,50,42,9.5,1
50,42,38,-6.0,1
42,38,24,-9.0,1
38,24,50,6.0,1
24,50,42,9.0,1
50,42,38,-6.0,1
42,38,24,-9.0,1
38,24,45,3.5,1
24,45,40,8.0,1
45,40,38,-3.5,1
40,38,26,-7.0,1
38,26,45,3.5,1
26,45,40,7.0,1
45,40,38,-3.5,1
40,38,26,-7.0,1
38,26,47,4.5,1
26,47,40,7.0,1
47,40,38,-4.5,1
40,38,26,-7.0,1
38,26,47,4.5,1
26,47,40,7.0,1
47,40,38,-4.5,1
40,38,26,-7.0,1
38,26,48,5.0,1
26,48,38,6.0,1
48,38,31,-8.5,1
38,31,28,-5.0,1
31,28,48,8.5,1
28,48,38,5.0,1
48,38,31,-8.5,1
38,31,28,-5.0,1
31,28,48,8.5,1
28,48,38,5.0,1
48,38,31,-8.5,1
38,31,30,-4.0,1
31,30,48,8.5,1
30,48,38,4.0,1
48,38,31,-8.5,1
38,31,30,-4.0,1
31,30,47,8.0,1
30,47,38,4.0,1
47,38,31,-8.0,1
38,31,31,-3.5,1
31,31,47,8.0,1
31,47,38,3.5,1
47,38,31,-8.0,1
38,31,31,-3.5,1
31,31,47,8.0,1
31,47,38,3.5,1
47,38,31,-8.0,1
38,31,24,-7.0,1
31,24,47,8.0,1
24,47,38,7.0,1
47,38,31,-8.0,1
38,31,24,-7.0,1
31,24,45,7.0,1
24,45,38,7.0,1
45,38,30,-7.5,1
38,30,26,-6.0,1
30,26,45,7.5,1
26,45,38,6.0,1
45,38,30,-7.5,1
38,30,26,-6.0,1
30,26,45,7.5,1
26,45,38,6.0,1
45,38,30,-7.5,1
38,30,26,-6.0,1
30,26,45,7.5,1
26,45,38,6.0,1
45,38,30,-7.5,1
38,30,26,-6.0,1
30,26,43,6.5,1
26,43,38,6.0,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,43,4.0,1
19,43,38,9.5,1
43,38,35,-4.0,1
38,35,19,-9.5,1
35,19,45,5.0,1
19,45,38,9.5,1
45,38,30,-7.5,1
38,30,26,-6.0,1
30,26,45,7.5,1
26,45,38,6.0,1
45,38,30,-7.5,1
38,30,26,-6.0,1
30,26,47,8.5,1
26,47,38,6.0,1
47,38,31,-8.0,1
38,31,26,-6.0,1
31,26,47,8.0,1
